"year","block","trt","drought","totplotcov","ACHY","ACMI","AMRE","ARFR","ARLU","ASDR","BOGR","BRTE","CHAL","CHLE","DACA","FEID","GAAR","HECO","MATA","PASM","POOL","POPE","RACO","SCSC","THFI","ARPU","KOMA","LIPU","POSE","SPCO","SPCR","BOCU","BRIN","ELEL","HEVI","SOTR","TRDU","CAMI","ARPO","TAOF","COAR","SATR","MEOF","VEBR","CADU","AMTO","GRSQ","DESO","EUGL","LIDA","MONU","THAR","unkgrass","unknown dicot","PLPA","BASC","MANE","LEDR","BUDA","SIAL","nativecov.plot","bg.plotmean","lit.plotmean"
"2020","1","dt","0",0.253,0,0.0592885375494071,NA,NA,0.0148221343873518,0,0.296442687747036,NA,NA,NA,0.0217391304347826,0.0296442687747036,0,0.0988142292490119,0,0.0395256916996047,NA,0.0642292490118577,0.0296442687747036,0.00988142292490119,0.33596837944664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.253,0.5,NA
"2020","1","fd","0",0.35725,NA,0.125962211336599,NA,0,NA,NA,0.0384884534639608,NA,NA,NA,0.0279916025192442,0.0279916025192442,0.118964310706788,0.0174947515745276,0,NA,NA,0.0244926522043387,NA,NA,0.587823652904129,0,0.0279916025192442,0.00279916025192442,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.35725,0.35,NA
"2020","1","ir","0",0.3855,NA,0.207522697795071,NA,0,0,0,NA,NA,NA,NA,0.00972762645914397,0.0110246433203632,NA,NA,NA,NA,NA,0,0,0.00324254215304799,0.583657587548638,NA,NA,NA,0,NA,0.0259403372243839,0.149156939040208,NA,0,0.00972762645914397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3855,0.375,NA
"2020","1","r","0",0.38375,NA,0.0521172638436482,NA,0.0130293159609121,0.00325732899022801,NA,0.0195439739413681,NA,NA,NA,0,NA,NA,0.0130293159609121,NA,0,NA,NA,0.781758957654723,NA,0.110749185667752,0,NA,0.00325732899022801,NA,0,NA,0.00325732899022801,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.38375,0.325,NA
"2020","10","dt","0",0.42925,NA,0.0128130460104834,NA,0,0.017472335468841,NA,0.0902737332556785,NA,NA,NA,NA,0.46592894583576,NA,NA,0.0029120559114735,NA,NA,0.0553290623179965,0,0.0029120559114735,0.069889341875364,NA,NA,0,0.0145602795573675,0,0.0203843913803145,0.247524752475247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.42925,0.115,NA
"2020","10","fd","0",0.333,NA,NA,NA,0,0,0.0015015015015015,0.0112612612612613,NA,NA,NA,0.0412912912912913,0.03003003003003,0.232732732732733,NA,NA,NA,NA,0.0187687687687688,0.0900900900900901,0.0412912912912913,0.435435435435435,0,0.0788288288288288,NA,NA,NA,NA,NA,NA,0,0.0187687687687688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.333,0.25,NA
"2020","10","ir","0",0.163,0.0414110429447853,0.161042944785276,NA,NA,0.00766871165644172,NA,0.115030674846626,NA,NA,NA,NA,0.0306748466257669,0.199386503067485,0.0460122699386503,0,NA,NA,0,0.161042944785276,0.145705521472393,NA,NA,0.00766871165644172,0.0153374233128834,NA,0,NA,NA,NA,NA,0.0690184049079755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.163,0.8,NA
"2020","10","r","0",0.63125,NA,0,NA,0,0.00594059405940594,NA,0,NA,NA,NA,NA,0,0.0138613861386139,0.00396039603960396,NA,NA,NA,0.0118811881188119,0.0198019801980198,NA,0.871287128712871,NA,0,NA,0.0277227722772277,0,NA,0.0316831683168317,NA,NA,0.0138613861386139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63125,0.15,NA
"2020","11","dt","1",0.2705,NA,0.00184842883548983,NA,NA,0,0,NA,NA,NA,NA,NA,0.471349353049908,0.0277264325323475,0.115526802218115,0,NA,NA,0.166358595194085,NA,NA,0.0693160813308688,0,0.0970425138632163,0.00462107208872458,0.0184842883548983,0,0.0277264325323475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2705,0.55,NA
"2020","11","fd","1",0.25725,NA,0.126336248785228,NA,0,0.0291545189504373,NA,NA,NA,NA,NA,0.0194363459669582,NA,NA,0.00194363459669582,0,NA,NA,0,NA,0.00680272108843537,0.631681243926142,NA,0.00971817298347911,0.0145772594752187,NA,0,0,0.160349854227405,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25725,0.575,NA
