"year","block","trt","water","structure","plot","mono","gopher","native.richness","native.forb.richness","native.grass.richness","native.cover","native.forb.cover","native.grass.cover","inv.grass.cov","fesper.seeded","fesper.present","ACHMIL","ACMAME","ACMSTR","AMSMEN","ASCFAS","CALCIL","CIROCC","DEIFAS","ESCCAL","GRICAM","LAYPLA","LUPBIC","LUPMIC","LUPSUC","PHACIC","PLAERE","RANCAL","SISBEL","TRIWIL","ARIPUR","BROCAR","ELYCON","ELYGLA","FESMIC","HORBRA","HORINT","KOEMAC","MELIMP","MUHRIG","POASEC","SPOAIR","STIPUL","BRODIA","BROHOR","BROMAD","FESMYU","FESPER","HORMUR","POLMON"
"2021","1","dt","1.25","A","1-DT",0,0,4,3,1,0.98,0.28,0.7,0,"1","1",0,0.0101010101010101,0,0,0.0202020202020202,0,0,0,0,0.252525252525253,0,0,0,0,0,0,0,0,0,0,0,0,0.707070707070707,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,0.0101010101010101,0,NA
"2021","1","fd","1.25","A","1-FD",0,0,5,3,2,1.04,0.74,0.3,0.05,"0","0",0,0.0192307692307692,0,0,0.0192307692307692,0,0,0,0.673076923076923,0,0,0,0,0,0,0,0,0,0,0,0.144230769230769,0,0,0,0,0,0,0,0,0,0,0.144230769230769,NA,NA,0,NA,0,0,NA
"2021","1","ir","1.25","A","1-IR",0,0,7,6,1,1.32,1.17,0.15,0.05,"1","1",0,0.072992700729927,0.0145985401459854,0.291970802919708,0,0,0.072992700729927,0,0.0364963503649635,0,0,0,0,0.364963503649635,0,0,0,0,0,0,0,0,0.109489051094891,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,0.0364963503649635,0,NA
"2021","1","r","1.25","A","1-R",0,0,8,5,3,1.25,1,0.25,0.08,"1","1",0,0.0153846153846154,0,0.538461538461538,0,0,0,0,0.0230769230769231,0,0,0,0,0.115384615384615,0,0,0.0769230769230769,0,0,0,0.0384615384615385,0,0.0384615384615385,0,0,0,0,0,0,0,0,0.115384615384615,NA,NA,0,NA,0.0384615384615385,0,NA
"2021","10","dt","1.25","K","10-DT",0,0,12,10,2,1.32,1.02,0.3,0,"1","1",0,0.00746268656716418,0.111940298507463,0.00746268656716418,0,0.41044776119403,0.00746268656716418,0,0.0746268656716418,0.00746268656716418,0,0,0.0373134328358209,0.0746268656716418,0,0,0.0223880597014925,0,0,0,0.0746268656716418,0,0.149253731343284,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,0.0149253731343284,0,NA
"2021","10","fd","1.25","K","10-FD",0,0,10,8,2,0.93,0.6,0.33,0.04,"0","0",0,0.010752688172043,0,0.32258064516129,0,0.0537634408602151,0.161290322580645,0,0.010752688172043,0.021505376344086,0,0,0,0.0537634408602151,0.010752688172043,0,0,0,0,0,0.32258064516129,0,0,0,0,0,0,0,0,0,0,0.032258064516129,NA,NA,0,NA,0,0,NA
"2021","10","ir","1.25","K","10-IR",0,0,9,7,2,1.12,0.99,0.13,0.02,"1","1",0,0.0344827586206897,0.00862068965517242,0.517241379310345,0,0.0258620689655172,0.129310344827586,0,0.00862068965517242,0,0,0,0,0.129310344827586,0,0,0,0,0,0,0.0862068965517241,0,0,0,0,0,0.0258620689655172,0,0,0,0,0,NA,NA,0,NA,0.0344827586206897,0,NA
"2021","10","r","1.25","K","10-R",0,0,7,6,1,1.34,0.54,0.8,0.02,"1","1",0,0.0367647058823529,0.0147058823529412,0.0735294117647059,0,0.147058823529412,0,0,0,0.110294117647059,0,0,0,0,0,0.0147058823529412,0,0,0,0,0.588235294117647,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,0.0147058823529412,0,NA
"2021","11","dt","1.25","D","11-DT",0,0,5,3,2,0.82,0.51,0.31,0,"1","1",0,0,0.0119047619047619,0,0,0,0.416666666666667,0,0,0,0,0,0,0,0.178571428571429,0,0,0,0,0,0.0119047619047619,0,0,0,0.357142857142857,0,0,0,0,0,0,0,NA,NA,0,NA,0.0238095238095238,0,NA
"2021","11","fd","1.25","K","11-FD",0,0,10,8,2,0.88,0.43,0.45,0.02,"0","0",0.0113636363636364,0.0568181818181818,0.113636363636364,0.0113636363636364,0,0.0340909090909091,0.227272727272727,0,0,0.0227272727272727,0,0,0,0,0.0113636363636364,0,0,0,0,0,0.340909090909091,0,0,0.170454545454545,0,0,0,0,0,0,0,0,NA,NA,0,NA,0,0,NA
